n10[51] g3372
n2023 g1077
n1092 g3232
n1433 g1674
n2024 g1076
n2027 g1073
n648 g2418
n1257 g1361
n2029 g1071
n2030 g1070
n72 g2237
n2031 g1069
n2032 g1068
n1316 g1791
n2033 g1067
n1769 g1315
n2034 g1066
n2035 g1065
n2036 g1064
n2037 g1063
n734 g3005
n2038 g1062
n2039 g1061
n2040 g1060
n285 g2018
n2044 g1056
n2045 g1055
n2046 g1054
n2047 g1053
n2926 g2700
n2048 g1052
n2049 g1051
n2050 g1050
n2056 g1143
n2051 g1049
n447 g2641
n2052 g1048
n2054 g1046
n2544 g2318
n1555 g1552
n2055 g1045
n2060 g1040
n207 g2101
n2062 g1038
n2063 g1037
n2064 g1036
n2065 g1035
n2066 g1034
n2067 g1033
n2771 g3120
n2041 g1059
n2155 g1044
n2068 g1032
n2069 g1031
n2070 g1030
n81 g2228
n2072 g1028
n1665 g1440
n2073 g1027
n2074 g1026
n720 g2310
n2075 g1025
n2077 g1023
n2079 g1021
n2762 g3147
n2080 g1020
n2081 g1019
n2082 g1018
n808 g2931
n2083 g1017
n945 g2752
n493 g2594
n2084 g1016
n2085 g1015
n378 g1878
n2086 g1014
n263 g2046
n1419 g1688
n2087 g1013
n2088 g1012
n2089 g1011
n2091 g1009
n2092 g1008
n2093 g1007
n2094 g1006
n1138 g3179
n2095 g1005
n2898 g2742
n2096 g1004
n2100 g1000
n2103 g997
n2104 g996
n1457 g1650
n2105 g995
n2106 g994
n2107 g993
n925 g2782
n2108 g992
n2109 g991
n2745 g2878
n2110 g990
n2111 g989
n1335 g1772
n2112 g988
n2113 g987
n2499 g2453
n2114 g986
n1612 g1495
n2115 g985
n2116 g984
n896 g2825
n2117 g983
n437 g2651
n2118 g982
n2119 g981
n594 g2494
n2120 g980
n1456 g1651
n2121 g979
n2102 g998
n2124 g976
n2125 g975
n2127 g973
n2128 g972
n2129 g971
n2130 g970
n2131 g969
n2132 g968
n761 g2978
n2133 g967
n2134 g966
n2137 g963
n2139 g961
n2140 g960
n2141 g959
n2626 g2008
n2678 g1850
n2142 g958
n2148 g952
n1436 g1671
n1563 g1544
n2076 g1024
n2149 g951
n1333 g1774
n2150 g950
n1527 g1583
n2151 g949
n2152 g948
n2153 g947
n2154 g946
n1751 g1333
n2156 g945
n1391 g1716
n2157 g944
n2158 g943
n1500 g1606
n1750 g1334
n2159 g942
n503 g2584
n2160 g941
n642 g2427
n394 g1855
n2161 g940
n780 g2958
n2162 g939
n1247 g3017
n2163 g938
n529 g2559
n2165 g936
n2166 g935
n2167 g934
n984 g2693
n1378 g1729
n2168 g933
n636 g2436
n2170 g931
n2171 g930
n2173 g928
n2174 g927
n64 g2245
n2147 g953
n2175 g926
n2176 g925
n2177 g924
n2164 g937
n2178 g923
n2179 g922
n2824 g2853
n2180 g921
n2181 g920
n2182 g919
n626 g2451
n2183 g918
n2184 g917
n2188 g913
n907 g2809
n2190 g911
n2191 g910
n2192 g909
n2195 g906
n2196 g905
n2197 g904
n2200 g901
n2201 g900
n14[7] g3362
n2202 g899
n1640 g1467
n2203 g898
n2204 g897
n2643 g1957
n2205 g896
n2206 g895
n2207 g894
n2208 g893
n2209 g892
n2210 g891
n536 g2552
n2211 g890
n2212 g889
n2213 g888
n2214 g887
n1445 g1662
n2215 g886
n2218 g883
n2219 g882
n2220 g881
n2221 g880
n2223 g878
n2224 g877
n2228 g873
n2078 g1022
n2229 g872
n2230 g871
n2231 g870
n2234 g867
n10[55] g3358
n545 g2543
n2235 g866
n1539 g1571
n2071 g1029
n2236 g865
n1226 g3049
n2237 g864
n2238 g863
n2239 g862
n1828 g1256
n2241 g860
n2242 g859
n2878 g2772
n1575 g1532
n2243 g858
n505 g2582
n612 g2472
n2244 g857
n2245 g856
n2246 g855
n2247 g854
n2248 g853
n2249 g852
n292 g2007
n2250 g851
n2252 g849
n1036 g3287
n2253 g848
n2257 g844
n2258 g843
n2259 g842
n566 g2522
n2260 g841
n2262 g839
n2263 g838
n1855 g1246
n2264 g837
n2265 g836
n2266 g835
n2267 g834
n2268 g833
n2269 g832
n2380 g831
n2270 g830
n2271 g829
n2272 g828
n188 g2120
n2273 g827
n2274 g826
n2275 g825
n1126 g3196
n2276 g824
n2277 g823
n1007 g3317
n2278 g822
n1104 g3220
n1117 g3207
n2145 g955
n2279 g821
n2280 g820
n906 g2810
n2282 g818
n584 g2504
n2283 g817
n2284 g816
n2285 g815
n2286 g814
n2287 g813
n2288 g812
n2289 g811
n2290 g810
n2291 g809
n869 g2866
n508 g2579
n2292 g808
n2293 g807
n2295 g805
n1289 g1818
n1473 g1634
n2296 g804
n329 g1952
n2297 g803
n2298 g802
n2299 g801
n1018 g3306
n2301 g799
n2302 g798
n2304 g796
n2305 g795
n2307 g793
n2308 g792
n1626 g1481
n2309 g791
n2870 g2784
n2310 g790
n2311 g789
n2312 g788
n2313 g787
n2314 g786
n2315 g785
n2316 g784
n1234 g3037
n1339 g1768
n2317 g783
n2319 g781
n2320 g780
n2321 g779
n2322 g778
n2323 g777
n743 g2996
n2324 g776
n667 g2389
n1320 g1787
n2325 g775
n2326 g774
n2016 g1084
n2255 g846
n2327 g773
n1181 g3116
n847 g2892
n192 g2116
n2328 g772
n2634 g1984
n1811 g1273
n2330 g770
n2331 g769
n2333 g767
n2334 g766
n2335 g765
n927 g2779
n1942 g1159
n2336 g764
n2337 g763
n2338 g762
n599 g2489
n2339 g761
n2340 g760
n2341 g759
n2346 g754
n2347 g753
n2348 g752
n1200 g3088
n2349 g751
n2350 g750
n2351 g749
n2352 g748
n1518 g1587
n2353 g747
n2354 g746
n2355 g745
n1291 g1816
n2356 g744
n1389 g1718
n2359 g741
n2360 g740
n2361 g739
n841 g2898
n2362 g738
n262 g2047
n2363 g737
n2365 g735
n2366 g734
n2126 g974
n2367 g733
n2368 g732
n2369 g731
n740 g2999
n2370 g730
n282 g2022
n2371 g729
n2372 g728
n2373 g727
n2374 g726
n2376 g724
n1884 g1217
n2101 g999
n2377 g723
n2378 g722
n2379 g721
n2381 g720
n2399 g719
n2383 g717
n2384 g716
n2385 g715
n2386 g714
n2387 g713
n1248 g3016
n2388 g712
n2389 g711
n2390 g710
n2391 g709
n2392 g708
n1118 g3206
n2393 g707
n1835 g1356
n2318 g782
n2394 g706
n514 g2574
n2395 g705
n2396 g704
n1608 g1499
n2397 g703
n750 g2989
n1310 g1797
n2400 g701
n2401 g700
n2402 g699
n414 g2674
n2403 g698
n2404 g697
n13[2] g696
n272 g2037
n13[1] g695
n1971 g1129
n13[0] g694
n12[2] g693
n12[1] g692
n1629 g1478
n6[14] g689
n6[13] g688
n1928 g1173
n6[11] g686
n353 g1916
n6[10] g685
n6[9] g684
n6[8] g683
n6[7] g682
n6[6] g681
n6[5] g680
n12[0] g691
n6[4] g679
n6[3] g678
n561 g2527
n6[2] g677
n6[0] g675
n836 g2903
n2143 g957
n9[63] g674
n9[62] g673
n9[60] g671
n9[59] g670
n9[58] g669
n9[56] g667
n9[54] g665
n2146 g954
n9[53] g664
n9[51] g662
n9[50] g661
n9[49] g660
n9[48] g659
n9[46] g657
n9[45] g656
n9[44] g655
n9[42] g653
n9[40] g651
n9[39] g650
n585 g2503
n1732 g1373
n9[38] g649
n9[37] g648
n9[36] g647
n9[35] g646
n2520 g2390
n1480 g1627
n9[34] g645
n9[33] g644
n9[32] g643
n9[31] g642
n9[29] g640
n9[26] g637
n1960 g1140
n2172 g929
n9[25] g636
n507 g2580
n9[24] g635
n9[23] g634
n1752 g1332
n9[22] g633
n9[21] g632
n2790 g3063
n9[20] g631
n9[19] g630
n2144 g956
n9[18] g629
n9[17] g628
n9[16] g627
n9[15] g626
n358 g1908
n9[14] g625
n384 g1869
n9[13] g624
n9[11] g622
n9[10] g621
n1895 g1206
n9[8] g619
n9[7] g618
n9[6] g617
n2747 g3198
n9[4] g615
n9[3] g614
n9[2] g613
n9[1] g612
n1671 g1434
n6[12] g687
n9[0] g611
n2936 g3339
n8[63] g610
n8[61] g608
n560 g2528
n1599 g1508
n2025 g1075
n8[60] g607
n8[58] g605
n2300 g800
n8[57] g604
n8[55] g602
n8[54] g601
n2199 g902
n8[52] g599
n8[51] g598
n2789 g3066
n8[50] g597
n684 g2364
n8[49] g596
n8[48] g595
n8[46] g593
n1956 g1145
n8[45] g592
n480 g2607
n8[43] g590
n1067 g3257
n8[41] g588
n139 g2170
n9[52] g663
n8[40] g587
n194 g2114
n8[38] g585
n8[37] g584
n8[36] g583
n1082 g3242
n2536 g2342
n8[35] g582
n1669 g1436
n8[34] g581
n1948 g1153
n2135 g965
n8[33] g580
n8[31] g578
n8[30] g577
n2226 g875
n8[29] g576
n8[28] g575
n820 g2919
n1837 g1354
n8[26] g573
n8[25] g572
n1368 g1739
n8[24] g571
n8[22] g569
n1414 g1693
n8[21] g568
n149 g2160
n8[20] g567
n140 g2169
n142 g2167
n8[19] g566
n1096 g3228
n8[17] g564
n8[16] g563
n2358 g742
n8[15] g562
n8[14] g561
n931 g2773
n365 g1898
n8[13] g560
n8[12] g559
n498 g2589
n237 g2072
n8[11] g558
n1268 g1839
n2189 g912
n8[10] g557
n8[9] g556
n1679 g1426
n8[8] g555
n8[7] g554
n1095 g3229
n1850 g1341
n8[6] g553
n8[5] g552
n1175 g3125
n8[4] g551
n8[3] g550
n8[2] g549
n8[1] g548
n8[0] g547
n525 g2563
n1910 g1191
n7[63] g546
n7[62] g545
n729 g2296
n2090 g1010
n7[61] g544
n1178 g3121
n7[60] g543
n2185 g916
n7[59] g542
n310 g1980
n7[58] g541
n7[56] g539
n1913 g1188
n7[55] g538
n7[54] g537
n2193 g908
n7[53] g536
n7[52] g535
n7[51] g534
n1006 g3318
n7[50] g533
n7[49] g532
n7[48] g531
n7[47] g530
n2194 g907
n7[46] g529
n7[45] g528
n7[44] g527
n7[43] g526
n803 g2936
n7[41] g524
n7[40] g523
n7[39] g522
n7[38] g521
n1354 g1753
n7[37] g520
n1758 g1326
n7[36] g519
n7[35] g518
n7[34] g517
n461 g2627
n7[32] g515
n1242 g3025
n143 g2166
n7[31] g514
n7[42] g525
n7[30] g513
n341 g1934
n1331 g1776
n7[29] g512
n7[28] g511
n7[27] g510
n2281 g819
n7[26] g509
n7[25] g508
n7[24] g507
n1877 g1224
n7[23] g506
n7[22] g505
n819 g2920
n7[21] g504
n7[20] g503
n7[19] g502
n2846 g2820
n611 g2473
n24 g2285
n1567 g1540
n7[18] g501
n7[16] g499
n2763 g3144
n1632 g1475
n7[15] g498
n7[14] g497
n1087 g3237
n7[12] g495
n2122 g978
n7[11] g494
n1130 g3190
n268 g2041
n7[10] g493
n7[8] g491
n7[6] g489
n7[5] g488
n744 g2995
n1573 g1534
n7[4] g487
n7[3] g486
n7[2] g485
n7[1] g484
n7[0] g483
n865 g2871
n2405 g482
n2406 g481
n2407 g480
n1123 g3201
n2408 g479
n2409 g478
n1439 g1668
n2410 g477
n730 g3009
n1343 g1764
n2411 g476
n1132 g3187
n1271 g1836
n2412 g475
n544 g2544
n1646 g1459
n2413 g474
n2415 g472
n2416 g471
n2417 g470
n426 g2662
n2256 g845
n2418 g469
n2419 g468
n1588 g1519
n2420 g467
n2422 g465
n2423 g464
n2424 g463
n2425 g462
n2426 g461
n2427 g460
n2429 g458
n8[56] g603
n2430 g457
n538 g2550
n2431 g456
n1259 g1359
n11[40] g455
n11[37] g454
n1297 g1810
n2357 g743
n11[33] g453
n2636 g1978
n1849 g1342
n1947 g1154
n11[35] g452
n2398 g702
n11[38] g450
n1645 g1460
n11[43] g449
n11[46] g448
n53 g2256
n11[45] g447
n1015 g3309
n2766 g3135
n2432 g446
n2186 g915
n2434 g445
n2435 g444
n2136 g964
n2436 g443
n46 g2263
n61 g2248
n2437 g442
n821 g2918
n2375 g725
n2438 g441
n2439 g440
n1347 g1760
n2433 g439
n11[32] g437
n312 g1977
n1682 g1423
n11[34] g436
n11[31] g435
n11[36] g434
n11[39] g433
n839 g2900
n11[42] g432
n2017 g1083
n11[41] g431
n2871 g430
n2597 g429
n810 g2929
n2875 g428
n2877 g427
n2879 g426
n2881 g425
n2883 g424
n2596 g423
n9[9] g620
n2885 g422
n1927 g1174
n2887 g421
n2889 g420
n2058 g1042
n2891 g419
n2893 g418
n2895 g417
n2897 g416
n2907 g414
n678 g2373
n2909 g413
n1222 g3055
n2028 g1072
n2911 g412
n2913 g411
n2915 g410
n2917 g409
n641 g2428
n2919 g408
n2593 g407
n2595 g404
n2925 g403
n8[27] g574
n2414 g473
n2927 g402
n289 g2012
n2592 g400
n167 g2141
n2699 g399
n1249 g3014
n2588 g398
n2545 g2315
n2553 g396
n2042 g1058
n2557 g395
n456 g2632
n2332 g768
n2559 g393
n2562 g392
n659 g2401
n2563 g391
n1229 g3044
n2565 g390
n1623 g1484
n2574 g388
n11[44] g451
n2580 g387
n2575 g386
n2556 g385
n1993 g1107
n2577 g384
n2578 g383
n2008 g1092
n2579 g382
n2057 g1043
n2555 g381
n2581 g380
n2582 g379
n2585 g378
n2589 g377
n2590 g376
n2591 g375
n8[18] g565
n2594 g374
n2576 g372
n1080 g3244
n2601 g371
n790 g2948
n2604 g370
n2608 g368
n2633 g1987
n2609 g367
n2782 g3087
n427 g2661
n347 g1925
n1418 g1689
n2611 g365
n2043 g1057
n2612 g364
n2613 g363
n2614 g362
n2572 g361
n166 g2142
n2683 g360
n1013 g3311
n1780 g1304
n2684 g359
n10[60] g3374
n9[57] g668
n2573 g358
n2685 g357
n2491 g2477
n2686 g356
n2687 g354
n8[62] g609
n2688 g353
n1214 g3067
n2681 g352
n2932 g2691
n2689 g351
n6[1] g676
n2690 g350
n1765 g1319
n2692 g348
n1292 g1815
n2693 g347
n2694 g346
n2198 g903
n2232 g869
n2697 g345
n2777 g3102
n392 g1857
n2700 g344
n1011 g3313
n8[47] g594
n2569 g343
n1195 g3095
n2701 g342
n2702 g341
n2703 g340
n2704 g339
n2505 g2435
n2216 g885
n2705 g338
n2706 g337
n1004 g3320
n2707 g336
n2709 g334
n1585 g1522
n2710 g333
n1412 g1695
n2715 g332
n2716 g331
n2717 g330
n2718 g329
n2719 g328
n2720 g327
n168 g2140
n2441 g326
n2442 g325
n2443 g324
n2444 g323
n1946 g1155
n2254 g847
n2445 g322
n2446 g321
n368 g1893
n2447 g320
n2448 g319
n2449 g318
n2450 g317
n2451 g316
n2452 g315
n2454 g313
n2455 g312
n2456 g311
n1046 g3277
n2739 g310
n2740 g309
n2742 g307
n1718 g1387
n2811 g306
n2560 g305
n2813 g304
n2713 g303
n297 g2000
n2815 g302
n2561 g301
n2817 g300
n2607 g299
n2821 g297
n2823 g296
n2825 g295
n2827 g294
n375 g1883
n2829 g293
n1073 g3251
n577 g2511
n1687 g1418
n2831 g292
n1025 g3299
n2833 g291
n2839 g290
n2845 g288
n122 g2187
n9[41] g652
n2847 g287
n2605 g286
n1374 g1733
n1934 g1167
n2849 g285
n1658 g1447
n2851 g284
n1470 g1637
n2853 g283
n670 g2385
n2855 g282
n2857 g281
n2859 g280
n2861 g279
n2748 g3195
n2603 g278
n614 g2469
n324 g1959
n2863 g277
n2865 g276
n2738 g275
n2261 g840
n2873 g274
n2826 g2850
n2899 g273
n2905 g272
n1996 g1104
n2931 g271
n2554 g270
n2567 g269
n1060 g3263
n2570 g268
n328 g1953
n2583 g267
n2586 g266
n2599 g265
n979 g2701
n2602 g264
n2682 g263
n2695 g262
n2698 g261
n2615 g260
n2711 g259
n2251 g850
n2714 g258
n2727 g257
n2730 g256
n304 g1989
n2809 g254
n257 g2052
n2835 g253
n2059 g1041
n2841 g252
n1538 g1572
n2869 g251
n2901 g250
n796 g2942
n2428 g459
n2933 g249
n2584 g248
n2600 g247
n2923 g405
n2616 g246
n971 g2713
n8[39] g586
n2696 g245
n2568 g244
n569 g2519
n2728 g243
n16 g2293
n2744 g242
n2712 g241
n2837 g240
n2737 g239
n1284 g1823
n2736 g238
n693 g2350
n2735 g237
n2733 g235
n2732 g234
n2731 g233
n2729 g232
n21 g2288
n2564 g231
n2726 g230
n26 g2283
n2725 g229
n2724 g228
n1790 g1294
n2723 g227
n1252 g3343
n2240 g861
n2722 g226
n2721 g225
n2867 g224
n2759 g3156
n2457 g223
n300 g1995
n1294 g1813
n2458 g222
n2459 g221
n2460 g220
n342 g1932
n2461 g219
n2462 g218
n2463 g217
n337 g1940
n2598 g373
n2464 g216
n2465 g215
n2466 g214
n2467 g213
n1446 g1661
n2468 g212
n2469 g211
n1499 g1607
n2470 g210
n1684 g1421
n2471 g209
n2758 g3159
n2472 g208
n2473 g207
n2474 g206
n5[0] g205
n926 g2780
n3[63] g204
n4[63] g203
n3[0] g202
n5[63] g201
n2606 g369
n4[0] g200
n919 g2791
n1431 g1676
n5[44] g199
n1508 g1597
n3[29] g198
n9[28] g639
n3[58] g197
n4[33] g196
n3[30] g195
n748 g2991
n4[34] g194
n4[35] g193
n1990 g1110
n4[36] g192
n4[37] g191
n3[52] g190
n726 g2301
n2014 g1086
n4[38] g189
n4[39] g188
n3[33] g187
n4[40] g186
n3[34] g184
n4[42] g183
n1324 g1783
n4[43] g182
n4[44] g181
n2903 g415
n4[45] g180
n745 g2994
n3[35] g179
n18 g2291
n3[36] g178
n1466 g1641
n1841 g1350
n4[46] g177
n1557 g1550
n5[1] g176
n3[53] g174
n5[2] g173
n5[3] g172
n5[4] g170
n248 g2061
n5[5] g169
n3[38] g168
n1441 g1666
n3[54] g167
n2364 g736
n5[6] g166
n5[7] g165
n4[50] g164
n2530 g2360
n5[8] g163
n917 g2794
n5[9] g162
n195 g2113
n4[51] g161
n3[39] g160
n5[10] g159
n844 g2895
n972 g2711
n1806 g1278
n5[11] g158
n425 g2663
n4[52] g157
n5[13] g155
n894 g2828
n4[53] g154
n3[40] g153
n2187 g914
n5[14] g152
n1819 g1265
n4[54] g151
n2233 g868
n3[42] g150
n4[55] g149
n2329 g771
n5[17] g148
n603 g2485
n1381 g1726
n3[41] g147
n3[44] g146
n5[18] g145
n1048 g3275
n5[19] g144
n4[56] g143
n2000 g1100
n2440 g438
n2571 g355
n5[20] g142
n731 g3008
n5[22] g139
n2010 g1090
n5[23] g138
n9[43] g654
n4[58] g137
n1023 g3301
n5[24] g136
n5[25] g135
n4[59] g134
n14[14] g3357
n5[26] g133
n5[27] g132
n4[60] g131
n5[28] g130
n1908 g1193
n5[29] g129
n4[61] g128
n5[30] g126
n4[62] g125
n5[33] g123
n1399 g1708
n3[61] g121
n256 g2053
n5[34] g120
n5[35] g119
n3[43] g127
n5[36] g118
n464 g2624
n5[37] g117
n5[38] g116
n5[39] g115
n3[1] g114
n5[40] g113
n3[2] g111
n380 g1875
n5[42] g110
n1122 g3202
n5[43] g109
n4[57] g140
n3[3] g108
n1411 g1696
n4[30] g107
n2123 g977
n3[48] g106
n3[4] g105
n901 g2818
n3[37] g175
n3[55] g104
n5[46] g103
n3[5] g102
n9[30] g641
n3[8] g101
n3[6] g99
n1315 g1792
n3[59] g98
n1425 g1682
n1602 g1505
n5[50] g97
n1042 g3281
n5[51] g96
n5[52] g95
n5[53] g94
n3[7] g93
n1525 g1566
n2225 g876
n3[62] g92
n1937 g1164
n5[54] g91
n1605 g1502
n2741 g308
n5[55] g90
n1279 g1828
n3[9] g89
n5[56] g88
n2344 g756
n2558 g394
n5[57] g87
n589 g2499
n3[10] g86
n1487 g1620
n5[58] g85
n5[59] g84
n1357 g1750
n5[60] g83
n5[61] g82
n3[11] g81
n1852 g1249
n3[12] g80
n5[62] g79
n3[13] g78
n815 g2924
n4[1] g77
n3[14] g76
n7[7] g490
n4[2] g75
n2880 g2769
n1465 g1642
n4[3] g74
n3[49] g73
n898 g2822
n4[4] g72
n1565 g1542
n4[5] g71
n3[56] g70
n2053 g1047
n3[60] g69
n4[6] g68
n4[7] g67
n3[17] g66
n4[8] g65
n1616 g1491
n4[9] g64
n2098 g1002
n3[18] g63
n1050 g3273
n1754 g1330
n2421 g466
n4[10] g62
n5[41] g112
n4[11] g61
n1610 g1497
n3[19] g60
n4[12] g59
n2382 g718
n4[13] g58
n3[20] g57
n2818 g2862
n3[50] g56
n4[14] g55
n1962 g1138
n7[9] g492
n3[21] g54
n4[41] g185
n3[24] g53
n4[49] g171
n4[17] g52
n3[22] g51
n8[32] g579
n3[57] g50
n2920 g2709
n4[18] g49
n4[19] g48
n8[23] g570
n4[20] g47
n8[44] g591
n2929 g401
n4[21] g46
n455 g2633
n702 g2337
n351 g1919
n2342 g758
n3[23] g45
n1044 g3279
n345 g1928
n4[22] g44
n1486 g1621
n4[23] g43
n8[59] g606
n3[25] g42
n1700 g1405
n3[45] g122
n4[24] g41
n537 g2551
n4[25] g40
n9[47] g658
n3[26] g39
n825 g2914
n1312 g1795
n4[26] g38
n875 g2857
n4[27] g37
n3[27] g36
n4[28] g35
n4[29] g34
n3[28] g33
n3[51] g32
n2791 g3060
n2844 g2823
n4[31] g31
n941 g2758
n4[32] g30
n3[31] g29
n4[47] g28
n2691 g349
n5[15] g27
n647 g2419
n5[16] g26
n543 g2545
n160 g2148
n4[48] g25
n3[32] g24
n995 g3329
n5[21] g141
n5[31] g23
n1408 g1699
n5[32] g22
n5[47] g21
n434 g2654
n5[48] g20
n3[15] g19
n4[15] g18
n5[12] g156
n4[16] g17
n1203 g3083
n3[16] g16
n3[47] g15
n374 g1884
n5[45] g14
n2475 g13
n2477 g11
n10[48] g3361
n2478 g10
n2479 g9
n2345 g755
n2480 g8
n522 g2566
n2026 g1074
n2481 g7
n2482 g6
n2483 g5
n2484 g4
n2509 g2423
n1478 g1629
n2485 g3
n2843 g289
n2486 g2
n1601 g1506
n1825 g1259
n2487 g1
n2743 g255
n2488 g0
n2[127] n2[127]
n2061 g1039
n2[126] n2[126]
n2303 g797
n2[125] n2[125]
n2[124] n2[124]
n889 g2836
n6[15] g690
n2[123] n2[123]
n950 g2744
n225 g2084
n2[122] n2[122]
n2[121] n2[121]
n2[120] n2[120]
n2[119] n2[119]
n2[118] n2[118]
n2[117] n2[117]
n2476 g12
n2[116] n2[116]
n1188 g3106
n7[13] g496
n2[115] n2[115]
n2[114] n2[114]
n9[27] g638
n2[113] n2[113]
n2[112] n2[112]
n2734 g236
n2[111] n2[111]
n2[110] n2[110]
n2[109] n2[109]
n2[108] n2[108]
n2708 g335
n2[107] n2[107]
n9[55] g666
n2[106] n2[106]
n2[105] n2[105]
n2[104] n2[104]
n756 g2983
n2902 g2736
n1561 g1546
n2[103] n2[103]
n2[102] n2[102]
n2[101] n2[101]
n849 g2890
n2[100] n2[100]
n2[99] n2[99]
n1238 g3031
n2921 g406
n2[98] n2[98]
n2819 g298
n2[97] n2[97]
n1113 g3211
n2[96] n2[96]
n9[12] g623
n2[95] n2[95]
n2512 g2414
n2[94] n2[94]
n135 g2174
n2[93] n2[93]
n10[47] g3363
n873 g2860
n2[92] n2[92]
n2[91] n2[91]
n2[90] n2[90]
n2[89] n2[89]
n2[88] n2[88]
n2[87] n2[87]
n2[86] n2[86]
n2[85] n2[85]
n2222 g879
n2294 g806
n2[84] n2[84]
n2169 g932
n2[83] n2[83]
n2217 g884
n7[57] g540
n2[82] n2[82]
n604 g2484
n2138 g962
n2[81] n2[81]
n2[80] n2[80]
n2306 g794
n2[79] n2[79]
n2[78] n2[78]
n2[77] n2[77]
n59 g2250
n2003 g1097
n2[76] n2[76]
n2[75] n2[75]
n5[49] g100
n2[74] n2[74]
n2[73] n2[73]
n2[72] n2[72]
n2[71] n2[71]
n2[70] n2[70]
n2[69] n2[69]
n2[68] n2[68]
n2[67] n2[67]
n2[66] n2[66]
n2343 g757
n2[65] n2[65]
n2[64] n2[64]
n2[63] n2[63]
n2[62] n2[62]
n2099 g1001
n2[61] n2[61]
n2097 g1003
n2[59] n2[59]
n2[58] n2[58]
n2227 g874
n2[57] n2[57]
n2[56] n2[56]
n1146 g3168
n2538 g2336
n1604 g1503
n2[55] n2[55]
n2[54] n2[54]
n2[53] n2[53]
n2519 g2393
n2[52] n2[52]
n448 g2640
n1532 g1578
n2610 g366
n2[51] n2[51]
n9[5] g616
n8[53] g600
n2[50] n2[50]
n1854 g1247
n2[49] n2[49]
n2[48] n2[48]
n2[47] n2[47]
n80 g2229
n2[46] n2[46]
n2[45] n2[45]
n833 g2906
n152 g2157
n2[44] n2[44]
n2[43] n2[43]
n2[42] n2[42]
n2[41] n2[41]
n2[40] n2[40]
n9[61] g672
n2566 g389
n2[39] n2[39]
n2453 g314
n2[38] n2[38]
n1068 g3256
n3[46] g124
n2[37] n2[37]
n2[36] n2[36]
n2[35] n2[35]
n2[34] n2[34]
n2[33] n2[33]
n1484 g1623
n2[32] n2[32]
n2[31] n2[31]
n2[30] n2[30]
n2[29] n2[29]
n2[28] n2[28]
n2[27] n2[27]
n2[26] n2[26]
n2756 g3166
n2[25] n2[25]
n2[24] n2[24]
n2[23] n2[23]
n762 g2977
n2[22] n2[22]
n2[21] n2[21]
n2[20] n2[20]
n2[19] n2[19]
n2[18] n2[18]
n2[17] n2[17]
n2[16] n2[16]
n2[15] n2[15]
n650 g2415
n1967 g1133
n7[17] g500
n2[14] n2[14]
n7[33] g516
n2[13] n2[13]
n2[12] n2[12]
n2[11] n2[11]
n2005 g1095
n2[10] n2[10]
n2[9] n2[9]
n2[8] n2[8]
n895 g2827
n2852 g2811
n2[7] n2[7]
n2587 g397
n2[6] n2[6]
n2[5] n2[5]
n2[4] n2[4]
n2[3] n2[3]
n2[2] n2[2]
n2[1] n2[1]
n1342 g1765
n2[0] n2[0]
n19 g2290
n8[42] g589
n2[60] n2[60]
n1 n1
n0 n0
