n30[9] g2846
n31[30] g858
n1039 g856
n207 g855
n1077 g939
n1756 g854
n1392 g853
n783 g852
n811 g851
n29[0] g1486
n31[29] g850
n490 g849
n2003 g848
n1928 g847
n2109 g846
n1724 g845
n33[24] g2664
n1817 g844
n16[2] g841
n26[10] g840
n623 g839
n2208 g838
n1842 g837
n1843 g836
n854 g835
n1559 g834
n1620 g833
n1852 g832
n11[12] g831
n2162 g2604
n395 g829
n1793 g1401
n701 g828
n32[16] g827
n12[7] g826
n28[2] g825
n847 g824
n1102 g823
n2212 g821
n1854 g820
n665 g819
n1055 g818
n28[11] g2430
n26[26] g816
n1410 g815
n1703 g2438
n2114 g814
n35[30] g813
n28[21] g812
n1225 g811
n15[15] g810
n2052 g809
n166 g808
n1598 g2548
n1085 g807
n2118 g806
n35[18] g805
n393 g804
n947 g803
n2018 g802
n1432 g801
n1996 g1950
n13[19] g800
n28[16] g798
n935 g797
n1738 g796
n469 g795
n723 g793
n1513 g2107
n32[9] g792
n994 g791
n1994 g790
n27[2] g789
n163 g788
n12[23] g1639
n30[15] g786
n1607 g785
n1801 g784
n670 g783
n1256 g780
n1922 g1403
n30[12] g779
n1376 g778
n1862 g777
n1657 g2395
n940 g774
n1470 g773
n1536 g772
n22[3] g771
n12[20] g2204
n745 g770
n30[31] g769
n1787 g768
n11[17] g767
n1672 g766
n1665 g765
n411 g764
n1776 g763
n2160 g776
n33[1] g762
n112 g761
n28[20] g760
n513 g1595
n2292 g759
n34[25] g758
n820 g757
n1691 g951
n1175 g817
n193 g756
n21[21] g753
n969 g752
n633 g751
n2051 g750
n580 g749
n1939 g748
n2110 g747
n1191 g746
n2112 g745
n1602 g744
n2035 g743
n1806 g742
n21[13] g741
n1712 g1851
n1312 g1836
n1356 g1290
n2306 g740
n2244 g739
n76 g738
n564 g737
n30[21] g736
n13[4] g735
n927 g734
n141 g733
n206 g732
n33[15] g1309
n16[13] g731
n1234 g730
n358 g729
n785 g728
n12[12] g1820
n1144 g727
n437 g725
n379 g724
n1272 g723
n31[25] g722
n34[31] g721
n1906 g720
n2167 g719
n1805 g718
n1684 g717
n815 g1286
n2123 g716
n34[5] g1066
n2136 g715
n174 g714
n1232 g2155
n1762 g712
n1720 g711
n2272 g710
n603 g709
n34[7] g708
n13[13] g707
n1166 g1838
n579 g1029
n683 g706
n1984 g705
n1321 g704
n431 g2117
n30[27] g2082
n28[30] g703
n859 g702
n33[8] g700
n1531 g699
n2234 g698
n1644 g2635
n1904 g697
n477 g696
n1008 g695
n13[6] g694
n26[13] g692
n1826 g691
n1823 g958
n169 g690
n269 g2023
n1114 g689
n77 g688
n693 g687
n1641 g686
n13[27] g685
n24[3] g684
n26[29] g683
n1935 g682
n2241 g681
n752 g680
n1977 g2475
n215 g679
n36[1] g678
n1434 g677
n14[16] g676
n1751 g675
n21[31] g674
n14[9] g673
n2291 g672
n357 g1509
n1554 g1169
n962 g671
n1029 g670
n2176 g669
n2073 g1763
n2198 g668
n1690 g667
n1258 g666
n1794 g665
n372 g664
n942 g1088
n2209 g663
n1813 g662
n13[16] g661
n1499 g660
n2016 g659
n26[8] g658
n1071 g1558
n548 g657
n1878 g932
n132 g656
n1334 g655
n33[31] g654
n1819 g2298
n304 g653
n31[15] g652
n632 g651
n2117 g650
n29[26] g648
n907 g647
n1791 g645
n577 g643
n921 g2352
n740 g642
n363 g641
n1739 g639
n1903 g1780
n1954 g638
n370 g2674
n489 g1557
n185 g637
n1107 g2158
n2040 g636
n114 g635
n352 g1177
n35[21] g634
n1646 g633
n1006 g632
n16[0] g631
n338 g630
n876 g629
n1045 g1463
n2185 g938
n11[21] g628
n228 g627
n525 g626
n777 g625
n445 g2111
n325 g624
n1715 g2568
n1827 g623
n250 g622
n893 g2563
n99 g621
n1215 g620
n442 g2749
n312 g619
n29[24] g618
n2235 g617
n1865 g616
n1840 g646
n1627 g615
n1124 g613
n1097 g1607
n1316 g614
n180 g612
n26[21] g611
n2319 g1346
n757 g610
n1394 g609
n1372 g608
n2149 g607
n2188 g2601
n1920 g2450
n555 g1341
n282 g606
n301 g605
n2321 g604
n28[8] g602
n1909 g601
n2170 g600
n61 g599
n516 g598
n2320 g597
n1475 g596
n1609 g595
n24[0] g593
n2087 g1471
n861 g592
n2219 g591
n29[27] g590
n153 g589
n1060 g588
n568 g587
n35[31] g2578
n1184 g586
n2200 g585
n976 g584
n1076 g993
n21[20] g583
n983 g2534
n265 g582
n553 g581
n1649 g580
n199 g579
n50 g578
n1140 g577
n1619 g576
n2147 g575
n2224 g574
n471 g573
n897 g572
n2134 g571
n32[6] g754
n676 g570
n16[9] g1504
n812 g569
n1483 g568
n2233 g567
n1000 g566
n819 g565
n1420 g1932
n30[19] g564
n582 g563
n1340 g562
n1159 g2552
n1021 g561
n1864 g560
n12[8] g559
n11[8] g558
n2155 g557
n1309 g556
n1685 g555
n32[0] g554
n467 g553
n1771 g552
n29[16] g551
n35[9] g550
n32[15] g549
n1504 g2829
n34[10] g548
n2161 g547
n1170 g546
n1912 g545
n934 g544
n424 g543
n1698 g2037
n1131 g1128
n247 g542
n1407 g541
n804 g540
n1578 g539
n21[17] g538
n257 g537
n1104 g2343
n388 g536
n24[14] g535
n22[6] g534
n2046 g2369
n765 g533
n2078 g532
n2203 g2464
n280 g531
n915 g1813
n870 g530
n699 g529
n1244 g1791
n1610 g528
n86 g1936
n1302 g527
n810 g2250
n1149 g526
n35[15] g842
n116 g525
n2066 g523
n92 g522
n11[9] g521
n1241 g520
n1240 g519
n1495 g518
n1362 g517
n1623 g516
n11[13] g515
n233 g2609
n2225 g514
n365 g513
n31[8] g928
n663 g512
n2063 g511
n1480 g510
n2226 g509
n827 g508
n801 g507
n512 g506
n951 g505
n2034 g504
n1571 g503
n12[26] g502
n12[2] g501
n560 g500
n1189 g499
n13[5] g498
n1005 g497
n556 g496
n1059 g495
n581 g494
n298 g493
n28[1] g2105
n14[4] g492
n1090 g491
n392 g490
n567 g489
n658 g488
n1947 g487
n1205 g486
n24[29] g485
n12[19] g483
n650 g482
n2024 g481
n2098 g480
n1016 g479
n1507 g971
n1671 g478
n1677 g476
n432 g475
n1418 g474
n326 g473
n539 g472
n214 g471
n1484 g470
n1693 g1768
n529 g469
n268 g468
n11[22] g1831
n2152 g467
n2049 g466
n480 g465
n1667 g464
n1545 g462
n1987 g461
n1759 g822
n32[26] g460
n19[5] g459
n2301 g458
n2294 g775
n1054 g457
n1778 g456
n537 g455
n2004 g454
n1721 g453
n1752 g2503
n1377 g452
n1354 g451
n1116 g450
n1217 g449
n29[14] g448
n499 g447
n14[25] g446
n1288 g445
n796 g444
n1741 g443
n394 g442
n2133 g1315
n288 g441
n30[2] g440
n2259 g439
n904 g2465
n1201 g438
n1338 g437
n1388 g2402
n299 g436
n1528 g435
n369 g434
n679 g433
n14[15] g649
n1143 g432
n1894 g1190
n334 g431
n573 g429
n238 g1537
n1523 g428
n1587 g2739
n29[17] g427
n30[10] g426
n98 g1087
n32[3] g425
n335 g424
n1580 g423
n975 g422
n973 g1693
n1884 g782
n29[10] g421
n1647 g420
n1026 g419
n33[3] g418
n1735 g417
n803 g416
n59 g2743
n848 g415
n24[10] g414
n1770 g413
n2144 g1475
n2029 g412
n13[1] g2223
n35[12] g411
n12[24] g410
n1564 g409
n33[27] g408
n1397 g407
n2159 g406
n1106 g1924
n571 g405
n26[24] g404
n1017 g403
n28[22] g402
n1361 g401
n1617 g400
n906 g2363
n1835 g399
n2015 g398
n802 g397
n1093 g396
n272 g395
n15[9] g394
n34[15] g2696
n647 g393
n13[9] g392
n540 g391
n1222 g799
n1653 g390
n124 g389
n384 g388
n1317 g387
n1999 g1947
n316 g386
n416 g385
n336 g384
n1401 g383
n2204 g382
n843 g381
n1845 g380
n164 g379
n774 g378
n1486 g377
n807 g376
n538 g375
n422 g374
n293 g373
n1785 g371
n1678 g370
n1727 g2656
n13[14] g1232
n2130 g368
n1943 g366
n1121 g365
n21[30] g364
n109 g363
n14[6] g362
n1874 g361
n14[18] g360
n1214 g2554
n1004 g359
n1417 g358
n1435 g357
n33[5] g356
n31[22] g355
n11[6] g354
n24[18] g353
n534 g966
n1038 g352
n1916 g351
n14[19] g350
n12[4] g349
n35[17] g348
n1171 g347
n749 g346
n35[5] g644
n474 g345
n26[17] g344
n1431 g343
n1502 g342
n1595 g1746
n1961 g341
n447 g340
n2215 g339
n1247 g338
n283 g337
n26[20] g336
n28[27] g335
n1901 g334
n1949 g333
n926 g332
n1274 g2526
n33[30] g331
n33[14] g330
n902 g329
n244 g594
n716 g328
n2218 g327
n213 g326
n2280 g325
n2088 g324
n454 g323
n620 g322
n256 g2305
n957 g321
n1451 g320
n152 g1186
n32[17] g317
n36[2] g316
n629 g315
n29[19] g314
n356 g313
n18[1] g312
n1780 g311
n239 g310
n2246 g309
n1374 g308
n34[2] g307
n24[20] g1694
n26[2] g306
n1855 g305
n1930 g1095
n667 g830
n35[29] g304
n423 g303
n29[6] g2114
n1508 g302
n1305 g301
n1112 g300
n711 g2433
n54 g299
n2068 g298
n535 g297
n415 g296
n36[3] g957
n24[15] g295
n396 g2315
n1795 g294
n2120 g1568
n1830 g293
n19[1] g291
n28[9] g290
n1235 g289
n869 g288
n1858 g2288
n276 g287
n2197 g2258
n32[20] g286
n914 g285
n16[14] g284
n342 g283
n1638 g282
n1968 g281
n463 g280
n2199 g279
n371 g278
n33[0] g277
n832 g276
n30[24] g275
n855 g2205
n852 g274
n412 g1310
n24[4] g273
n1257 g272
n28[14] g271
n2142 g2549
n30[13] g270
n168 g269
n1859 g268
n1675 g267
n2210 g266
n339 g2380
n615 g265
n19[3] g264
n1132 g263
n2196 g262
n1319 g261
n1335 g260
n1592 g259
n16[11] g258
n895 g257
n1768 g256
n1540 g254
n1702 g1751
n31[6] g253
n1136 g252
n13[29] g1824
n863 g251
n492 g2468
n34[30] g250
n1471 g249
n1937 g248
n32[5] g247
n2190 g1499
n503 g246
n13[20] g245
n574 g244
n838 g243
n974 g242
n1500 g241
n2164 g2528
n2022 g1129
n680 g240
n824 g2277
n1908 g238
n2077 g237
n1218 g236
n1812 g857
n2023 g235
n1064 g980
n1773 g234
n204 g233
n453 g232
n14[0] g231
n1419 g230
n1873 g229
n2030 g228
n475 g1747
n21[24] g227
n1368 g2574
n448 g226
n26[30] g225
n1195 g224
n175 g223
n21[4] g1606
n29[2] g222
n496 g221
n1637 g220
n24[24] g219
n889 g218
n30[4] g217
n303 g2089
n1100 g216
n1337 g215
n829 g214
n1228 g213
n421 g212
n2055 g211
n596 g524
n2288 g210
n1352 g209
n11[29] g208
n197 g207
n1616 g206
n29[1] g1198
n743 g205
n814 g861
n81 g204
n511 g203
n33[29] g1868
n36[0] g640
n735 g202
n1505 g201
n83 g1577
n1921 g200
n1031 g199
n1485 g198
n1290 g197
n156 g2303
n13[10] g196
n909 g1988
n1304 g195
n2083 g194
n33[23] g193
n1403 g1108
n211 g192
n20[0] g191
n1253 g190
n181 g189
n1915 g188
n646 g187
n498 g186
n322 g185
n429 g184
n530 g183
n953 g182
n822 g181
n33[22] g180
n29[11] g179
n2038 g2393
n29[7] g178
n300 g2297
n1207 g787
n2168 g177
n1391 g176
n2027 g175
n1221 g174
n1591 g173
n418 g172
n2214 g171
n1010 g170
n614 g372
n15[5] g169
n597 g931
n22[1] g168
n883 g167
n143 g1959
n1622 g166
n459 g165
n1414 g164
n753 g2525
n103 g163
n32[8] g162
n26[25] g161
n2135 g160
n17[1] g159
n1364 g158
n1676 g157
n2053 g156
n34[29] g2530
n2041 g155
n995 g1888
n736 g920
n1603 g892
n694 g154
n142 g2724
n10[0] g153
n1030 g726
n1084 g152
n16[10] g151
n173 g1157
n35[14] g150
n26[28] g149
n28[7] g713
n835 g148
n21[3] g147
n986 g146
n2206 g2019
n291 g145
n482 g144
n26[5] g143
n1765 g1755
n1593 g142
n16[5] g141
n886 g1605
n1095 g140
n2033 g139
n1565 g138
n31[10] g137
n29[30] g136
n297 g135
n544 g134
n1282 g484
n2239 g133
n253 g132
n29[4] g131
n2202 g130
n1784 g1254
n344 g129
n1461 g128
n992 g127
n771 g126
n72 g125
n2094 g124
n159 g123
n127 g367
n1387 g121
n22[7] g255
n15[6] g120
n491 g119
n1876 g118
n2242 g1861
n33[25] g117
n2151 g116
n849 g1043
n34[9] g115
n343 g114
n1963 g113
n26[7] g112
n955 g111
n17[6] g110
n402 g109
n1147 g108
n165 g107
n1938 g106
n1553 g104
n29[23] g103
n135 g947
n21[12] g102
n1329 g101
n1803 g100
n2093 g2248
n24[28] g99
n2309 g98
n1546 g97
n1313 g96
n2205 g95
n559 g94
n34[3] g93
n28[17] g92
n296 g91
n1358 g90
n1259 g89
n1980 g88
n885 g755
n1781 g87
n364 g86
n11[18] g1530
n25[28] g85
n22[4] g2381
n1836 g84
n640 g83
n685 g82
n94 g81
n58 g80
n192 g2514
n11[10] g79
n1707 g78
n1597 g2061
n15[10] g77
n1788 g1695
n2271 g76
n472 g75
n24[17] g74
n30[5] g73
n375 g72
n11[28] g71
n1705 g70
n751 g69
n1126 g68
n2270 g67
n146 g369
n455 g66
n1216 g65
n494 g64
n26[31] g63
n1636 g62
n120 g1121
n1529 g61
n611 g60
n1074 g59
n1728 g58
n853 g57
n634 g56
n361 g961
n493 g55
n171 g54
n12[5] g239
n1160 g53
n2171 g52
n2293 g51
n2089 g50
n1626 g49
n806 g983
n1188 g48
n1896 g47
n767 g781
n1453 g46
n1457 g45
n35[8] g44
n1096 g43
n11[7] g42
n1472 g41
n943 g40
n495 g39
n30[14] g38
n1208 g37
n527 g36
n669 g35
n1889 g34
n2177 g33
n808 g32
n294 g31
n305 g30
n145 g29
n684 g28
n258 g27
n710 g26
n212 g25
n1103 g24
n1869 g23
n1460 g1984
n789 g22
n30[6] g1123
n668 g21
n21[26] g20
n961 g19
n1349 g477
n1532 g18
n63 g895
n30[20] g17
n12[29] g122
n1291 g16
n13[31] g15
n458 g430
n31[12] g14
n1558 g13
n764 g12
n988 g11
n16[15] g10
n618 g9
n1473 g8
n2249 g7
n27[0] g6
n2101 g5
n1263 g318
n497 g4
n28[3] g2072
n267 g3
n1997 g2
n224 g1
n270 g0
n23[2] g2469
n9[7] n9[7]
n1846 g2254
n9[6] n9[6]
n9[5] n9[5]
n9[4] n9[4]
n1492 g1357
n9[3] n9[3]
n9[2] n9[2]
n9[1] n9[1]
n9[0] n9[0]
n8[1] n8[1]
n8[0] n8[0]
n7[3] n7[3]
n2020 g1153
n7[2] n7[2]
n7[1] n7[1]
n954 g1503
n26[15] g843
n7[0] n7[0]
n6[3] n6[3]
n6[2] n6[2]
n1549 g693
n6[1] n6[1]
n6[0] n6[0]
n1606 g2419
n5[31] n5[31]
n5[30] n5[30]
n5[29] n5[29]
n5[28] n5[28]
n5[27] n5[27]
n1750 g603
n5[26] n5[26]
n5[25] n5[25]
n5[24] n5[24]
n5[23] n5[23]
n5[22] n5[22]
n5[21] n5[21]
n5[20] n5[20]
n5[19] n5[19]
n285 g1101
n5[18] n5[18]
n721 g1299
n2000 g1007
n5[17] n5[17]
n5[16] n5[16]
n5[15] n5[15]
n5[14] n5[14]
n5[13] n5[13]
n504 g1994
n5[12] n5[12]
n5[11] n5[11]
n5[10] n5[10]
n5[9] n5[9]
n5[8] n5[8]
n5[7] n5[7]
n5[6] n5[6]
n5[5] n5[5]
n5[4] n5[4]
n1042 g1368
n5[3] n5[3]
n5[2] n5[2]
n5[1] n5[1]
n5[0] n5[0]
n4[31] n4[31]
n4[30] n4[30]
n13[17] g1404
n1439 g1155
n4[29] n4[29]
n4[28] n4[28]
n4[27] n4[27]
n4[26] n4[26]
n2122 g794
n4[25] n4[25]
n911 g870
n4[24] n4[24]
n4[23] n4[23]
n4[22] n4[22]
n4[21] n4[21]
n4[20] n4[20]
n4[19] n4[19]
n4[18] n4[18]
n31[4] g2192
n4[17] n4[17]
n4[16] n4[16]
n4[15] n4[15]
n2220 g1358
n4[14] n4[14]
n237 g2377
n4[13] n4[13]
n32[2] g2304
n4[12] n4[12]
n4[11] n4[11]
n4[10] n4[10]
n2245 g105
n4[9] n4[9]
n4[8] n4[8]
n4[7] n4[7]
n4[6] n4[6]
n4[5] n4[5]
n4[4] n4[4]
n4[3] n4[3]
n4[2] n4[2]
n4[1] n4[1]
n4[0] n4[0]
n30[11] g701
n3[31] n3[31]
n3[30] n3[30]
n31[5] g2323
n3[29] n3[29]
n3[28] n3[28]
n3[27] n3[27]
n3[26] n3[26]
n3[25] n3[25]
n3[24] n3[24]
n3[23] n3[23]
n3[22] n3[22]
n3[21] n3[21]
n3[20] n3[20]
n3[19] n3[19]
n3[18] n3[18]
n3[17] n3[17]
n3[16] n3[16]
n1850 g319
n3[15] n3[15]
n3[14] n3[14]
n3[13] n3[13]
n1552 g2177
n3[12] n3[12]
n3[11] n3[11]
n3[10] n3[10]
n1436 g463
n3[9] n3[9]
n30[18] g1164
n3[8] n3[8]
n3[7] n3[7]
n3[6] n3[6]
n3[5] n3[5]
n148 g1937
n22[0] g292
n3[4] n3[4]
n3[3] n3[3]
n3[2] n3[2]
n3[1] n3[1]
n3[0] n3[0]
n2 n2
n1 n1
n0 n0
