g2869,g2869,not,n2573,n7[5]
g2866,g2866,not,n2576,n7[7]
g2864,g2864,not,n2578,n7[14]
g2861,g2861,not,n2581,n7[19]
g2860,g2860,not,n2582,n7[12]
g2859,g2859,not,n2583,n7[13]
g2858,g2858,not,n2584,n7[27]
g2857,g2857,not,n2585,n7[25]
g1900,g1900,nor,n871,n8[12],n2550
g1899,g1899,nor,n872,n8[31],n2[95]
g1898,g1898,nor,n873,n8[17],n2555
g1897,g1897,nor,n874,n8[13],n2[45]
g1896,g1896,nor,n875,n8[13],n2551
g2702,g2702,xnor,n121,n2[13],n2[77]
g1895,g1895,nor,n876,n8[20],n2558
g1894,g1894,nor,n877,n8[3],n2509
g1892,g1892,nor,n879,n8[7],n2[7]
g1907,g1907,nor,n864,n8[29],n2567
g1889,g1889,nor,n882,n8[14],n2552
g1887,g1887,nor,n884,n8[18],n2556
g1886,g1886,nor,n885,n2538,n10[0]
g1884,g1884,nor,n887,n8[2],n2[98]
g1881,g1881,nor,n890,n8[2],n2[66]
g1880,g1880,nor,n891,n8[26],n2564
g1879,g1879,nor,n892,n8[4],n2542
g1878,g1878,nor,n893,n8[23],n2[87]
g1877,g1877,nor,n894,n8[3],n2[99]
g2313,g2313,not,n458,n2518
g1874,g1874,nor,n897,n2[97],n10[1]
g1872,g1872,nor,n899,n8[27],n2533
g1871,g1871,nor,n900,n8[12],n2[44]
g1870,g1870,nor,n901,n8[22],n2560
g1986,g1986,nor,n785,n8[8],n2[40]
g1868,g1868,nor,n903,n8[12],n2[108]
g1866,g1866,nor,n905,n8[2],n2540
g1959,g1959,nor,n812,n8[20],n2[116]
g1865,g1865,nor,n906,n2[33],n10[1]
g1864,g1864,nor,n907,n8[4],n2[100]
g1863,g1863,nor,n908,n295,n286
g1862,g1862,nor,n909,n345,n281
g1861,g1861,nor,n910,n381,n280
g1856,g1856,nor,n915,n359,n280
g1855,g1855,nor,n916,n360,n281
g1854,g1854,nor,n917,n325,n283
g1853,g1853,nor,n918,n297,n284
g1851,g1851,nor,n920,n342,n283
g1849,g1849,nor,n922,n311,n281
g1848,g1848,nor,n923,n332,n282
g1847,g1847,nor,n924,n366,n282
g1846,g1846,nor,n925,n319,n284
g1845,g1845,nor,n926,n367,n285
g1844,g1844,nor,n927,n331,n285
g1842,g1842,nor,n929,n301,n283
g1840,g1840,nor,n931,n365,n287
g2067,g2067,not,n704,n5[56]
g1836,g1836,nor,n935,n354,n283
g1835,g1835,nor,n936,n363,n283
g1834,g1834,nor,n937,n378,n288
g1830,g1830,nor,n941,n2539,n10[1]
g1829,g1829,or,n942,n540,n541
g1828,g1828,nor,n943,n371,n282
g1826,g1826,nor,n945,n321,n280
g2806,g2806,nor,n17,n2[55],n2[119]
g1825,g1825,nor,n946,n337,n284
g1824,g1824,nor,n947,n347,n286
g1823,g1823,nor,n948,n328,n284
g1822,g1822,nor,n949,n326,n280
g1821,g1821,nor,n950,n339,n285
g1820,g1820,nor,n951,n348,n282
g1818,g1818,nor,n953,n369,n285
g1817,g1817,nor,n954,n314,n285
g1816,g1816,nor,n955,n302,n281
g1815,g1815,nor,n956,n336,n285
g1814,g1814,nor,n957,n294,n280
g2084,g2084,not,n687,n3[47]
g1813,g1813,nor,n958,n358,n285
g1812,g1812,nor,n959,n324,n284
g1810,g1810,nor,n961,n512,n284
g1809,g1809,nor,n962,n361,n280
g1808,g1808,nor,n963,n305,n280
g1807,g1807,nor,n964,n309,n284
g2667,g2667,nor,n151,n75,n150
g1806,g1806,nor,n965,n510,n280
g1804,g1804,nor,n967,n346,n281
g2446,g2446,not,n325,n2[22]
g1802,g1802,nor,n969,n308,n282
g1800,g1800,nor,n971,n349,n287
g1799,g1799,nor,n972,n307,n288
g1797,g1797,nor,n974,n370,n281
g1795,g1795,nor,n976,n533,n501
g1792,g1792,nor,n979,n518,n389
g1790,g1790,nor,n981,n535,n502
g1788,g1788,nor,n983,n533,n408
g2231,g2231,not,n540,n9[0]
g1787,g1787,nor,n984,n289,n483
g2578,g2578,xnor,n2540,n105,n209
g1785,g1785,nor,n986,n537,n405
g1784,g1784,nor,n987,n537,n503
g1783,g1783,nor,n988,n513,n447
g1782,g1782,nor,n989,n529,n414
g2830,g2830,or,n2612,n2607,n2609
g1780,g1780,nor,n991,n521,n402
g1779,g1779,nor,n992,n534,n403
g1777,g1777,nor,n994,n516,n386
g1776,g1776,nor,n995,n514,n498
g1775,g1775,nor,n996,n515,n436
g1774,g1774,nor,n997,n525,n492
g1773,g1773,nor,n998,n293,n395
g2513,g2513,nor,n254,n97,n253
g1772,g1772,nor,n999,n519,n432
g1771,g1771,nor,n1000,n520,n431
g1770,g1770,nor,n1001,n514,n456
g2062,g2062,not,n709,n5[25]
g1768,g1768,nor,n1003,n531,n393
g1994,g1994,nor,n777,n8[28],n2[60]
g1766,g1766,nor,n1005,n537,n315
g1765,g1765,nor,n1006,n289,n500
g1763,g1763,nor,n1008,n418,n292
g1762,g1762,nor,n1009,n538,n409
g1761,g1761,nor,n1010,n531,n469
g1831,g1831,nor,n940,n315,n286
g1760,g1760,nor,n1011,n533,n410
g2359,g2359,not,n412,n2[73]
g1757,g1757,nor,n1014,n525,n491
g1756,g1756,nor,n1015,n538,n419
g1754,g1754,nor,n1017,n514,n328
g1753,g1753,nor,n1018,n517,n440
g1752,g1752,nor,n1019,n385,n290
g1751,g1751,nor,n1020,n530,n309
g1749,g1749,nor,n1022,n525,n321
g1748,g1748,nor,n1023,n518,n504
g1747,g1747,nor,n1024,n523,n482
g1746,g1746,nor,n1025,n526,n388
g1744,g1744,nor,n1027,n535,n370
g1742,g1742,nor,n1029,n523,n435
g1741,g1741,nor,n1030,n289,n494
g1740,g1740,nor,n1031,n532,n331
g1738,g1738,nor,n1033,n527,n470
g2547,g2547,nor,n231,n57,n230
g1737,g1737,nor,n1034,n515,n459
g1736,g1736,nor,n1035,n534,n359
g1976,g1976,nor,n795,n8[31],n2569
g1735,g1735,nor,n1036,n530,n493
g1733,g1733,nor,n1038,n291,n307
g1902,g1902,nor,n869,n8[19],n2[115]
g1731,g1731,nor,n1040,n529,n366
g1730,g1730,nor,n1041,n516,n333
g1728,g1728,nor,n1043,n522,n304
g2238,g2238,not,n533,n8[4]
g1727,g1727,nor,n1044,n537,n453
g2003,g2003,nor,n768,n8[8],n2[72]
g1726,g1726,nor,n1045,n517,n506
g1724,g1724,nor,n1047,n517,n461
g1723,g1723,nor,n1048,n520,n357
g1722,g1722,nor,n1049,n528,n481
g1721,g1721,nor,n1050,n531,n347
g1720,g1720,nor,n1051,n526,n348
g1719,g1719,nor,n1052,n531,n368
g2663,g2663,nor,n154,n139,n153
g1718,g1718,nor,n1053,n521,n317
g1717,g1717,nor,n1054,n529,n401
g1716,g1716,or,n1055,n713,n712
g2560,g2560,xnor,n2546,n99,n221
g1715,g1715,nor,n1056,n289,n319
g2452,g2452,not,n319,n2[37]
g1709,g1709,nor,n1062,n517,n445
g1707,g1707,nor,n1064,n372,n292
g1706,g1706,nor,n1065,n527,n421
g1705,g1705,nor,n1066,n536,n509
g1704,g1704,nor,n1067,n535,n407
g1703,g1703,nor,n1068,n539,n302
g1701,g1701,nor,n1070,n291,n451
g1906,g1906,nor,n865,n8[30],n2568
g1700,g1700,nor,n1071,n523,n361
g1697,g1697,nor,n1074,n532,n462
g2416,g2416,not,n355,n2[9]
g1696,g1696,nor,n1075,n530,n337
g1695,g1695,nor,n1076,n537,n296
g1694,g1694,nor,n1077,n513,n364
g1692,g1692,nor,n1079,n524,n454
g1691,g1691,nor,n1080,n528,n381
g1690,g1690,nor,n1081,n535,n360
g1689,g1689,nor,n1082,n513,n400
g1882,g1882,nor,n889,n8[6],n2512
g1685,g1685,nor,n1086,n520,n474
g1681,g1681,nor,n1090,n539,n406
g1678,g1678,nor,n1093,n534,n428
g1918,g1918,nor,n853,n8[11],n2[11]
g1676,g1676,nor,n1095,n523,n416
g1675,g1675,nor,n1096,n531,n444
g1674,g1674,nor,n1097,n521,n371
g1673,g1673,nor,n1098,n528,n384
g1671,g1671,nor,n1100,n356,n290
g1670,g1670,nor,n1101,n525,n342
g1669,g1669,nor,n1102,n531,n443
g1668,g1668,nor,n1103,n293,n449
g1667,g1667,nor,n1104,n525,n452
g1666,g1666,nor,n1105,n515,n358
g1665,g1665,nor,n1106,n291,n369
g1664,g1664,nor,n1107,n525,n484
g1663,g1663,nor,n1108,n529,n310
g1662,g1662,nor,n1109,n515,n464
g1661,g1661,nor,n1110,n516,n308
g1660,g1660,nor,n1111,n522,n477
g1658,g1658,nor,n1113,n291,n427
g1656,g1656,nor,n1115,n291,n465
g1654,g1654,nor,n1117,n519,n320
g1653,g1653,nor,n1118,n522,n479
g2800,g2800,nor,n23,n2[15],n2[79]
g1648,g1648,nor,n1123,n519,n397
g1647,g1647,nor,n1124,n526,n433
g1645,g1645,nor,n1126,n513,n471
g1644,g1644,nor,n1127,n293,n463
g1643,g1643,nor,n1128,n520,n404
g2551,g2551,xnor,n2549,n138,n227
g1642,g1642,nor,n1129,n424,n292
g1640,g1640,nor,n1131,n291,n455
g1638,g1638,nor,n1133,n532,n495
g1637,g1637,nor,n1134,n538,n394
g2801,g2801,nor,n22,n2[48],n2[112]
g1636,g1636,nor,n1135,n524,n448
g1635,g1635,nor,n1136,n527,n422
g1634,g1634,nor,n1137,n529,n488
g1633,g1633,nor,n1138,n535,n390
g1632,g1632,nor,n1139,n530,n413
g1631,g1631,nor,n1140,n392,n290
g1630,g1630,nor,n1141,n534,n300
g1629,g1629,nor,n1142,n446,n290
g1628,g1628,nor,n1143,n514,n295
g1627,g1627,nor,n1144,n532,n485
g1626,g1626,nor,n1145,n535,n387
g1624,g1624,nor,n1147,n526,n382
g1623,g1623,nor,n1148,n523,n490
g1622,g1622,nor,n1149,n521,n487
g2140,g2140,not,n631,n3[11]
g1621,g1621,nor,n1150,n538,n505
g1620,g1620,nor,n1151,n536,n437
g1619,g1619,nor,n1152,n441,n290
g1618,g1618,nor,n1153,n536,n468
g1617,g1617,nor,n1154,n532,n497
g2836,g2836,or,n2606,n2587,n2590
g1616,g1616,nor,n1155,n521,n442
g1614,g1614,nor,n1157,n289,n349
g1613,g1613,nor,n1158,n528,n472
g2329,g2329,not,n442,n2512
g1610,g1610,nor,n1161,n534,n499
g1609,g1609,nor,n1162,n533,n508
g1608,g1608,nor,n1163,n289,n429
g1606,g1606,nor,n1165,n539,n391
g1604,g1604,nor,n1167,n364,n287
g1603,g1603,or,n1168,n589,n711
g1602,g1602,nor,n1169,n527,n507
g1601,g1601,nor,n1171,n1168,n1055
g1600,g1600,xnor,n1172,n540,n9[1]
g1595,g1595,nor,n1175,n1170,n1173
g1594,g1594,nor,n1178,n540,n1170
g1593,g1593,nor,n1180,n541,n1170
g1592,g1592,nor,n1177,n541,n1171
g1588,g1588,or,n1184,n287,n1178
g1587,g1587,nor,n1185,n288,n1174
g2286,g2286,not,n485,n2559
g1586,g1586,xnor,n1182,n1171,n9[0]
g1585,g1585,not,n276,n1183
g1584,g1584,not,n277,n1184
g1583,g1583,or,n1187,n714,n1176
g1841,g1841,nor,n930,n356,n284
g1581,g1581,nor,n1186,n1177,n1175
g1580,g1580,not,n278,n1188
g2372,g2372,not,n399,n2555
g1578,g1578,nor,n1235,n8[19],n279
g1577,g1577,nor,n1236,n8[27],n279
g1576,g1576,nor,n1237,n8[20],n279
g1575,g1575,nor,n1238,n8[4],n279
g1573,g1573,nor,n1240,n8[5],n279
g1572,g1572,nor,n1241,n10[1],n279
g1571,g1571,nor,n1242,n10[0],n279
g1570,g1570,nor,n1243,n8[11],n279
g1569,g1569,nor,n1244,n8[21],n279
g1567,g1567,nor,n1246,n8[23],n279
g1566,g1566,nor,n1247,n8[24],n279
g1565,g1565,nor,n1248,n8[25],n279
g1564,g1564,nor,n1249,n8[26],n279
g1563,g1563,nor,n1250,n8[7],n279
g1562,g1562,nor,n1251,n8[31],n279
g1561,g1561,nor,n1252,n8[28],n279
g1560,g1560,nor,n1253,n8[29],n279
g1850,g1850,nor,n921,n298,n287
g1559,g1559,nor,n1254,n8[30],n279
g1558,g1558,or,n1189,n852,n1187
g1557,g1557,or,n1190,n808,n1187
g1554,g1554,or,n1193,n778,n1187
g2701,g2701,xnor,n122,n2[14],n2[78]
g1553,g1553,or,n1194,n762,n1187
g1552,g1552,or,n1195,n725,n1187
g1551,g1551,or,n1196,n764,n1187
g1550,g1550,or,n1197,n779,n1187
g1548,g1548,or,n1199,n900,n1187
g1545,g1545,or,n1202,n783,n1187
g1542,g1542,or,n1205,n729,n1187
g1650,g1650,nor,n1121,n539,n486
g1541,g1541,or,n1206,n803,n1187
g1839,g1839,nor,n932,n318,n287
g1539,g1539,or,n1208,n788,n1187
g1538,g1538,or,n1209,n790,n1187
g1530,g1530,or,n1217,n833,n1187
g1529,g1529,or,n1218,n805,n1187
g1528,g1528,or,n1219,n809,n1187
g2220,g2220,not,n551,n3[59]
g1527,g1527,or,n1220,n777,n1187
g1525,g1525,or,n1222,n811,n1187
g1524,g1524,or,n1223,n820,n1187
g1519,g1519,or,n1228,n819,n1187
g1615,g1615,nor,n1156,n530,n496
g1517,g1517,nor,n1230,n288,n1186
g1515,g1515,nor,n1232,n287,n1182
g1514,g1514,or,n1233,n732,n1187
g2134,g2134,not,n637,n5[5]
g1513,g1513,or,n1234,n829,n1187
g1758,g1758,nor,n1013,n519,n425
g1512,g1512,or,n1275,n1179,n1183
g1511,g1511,or,n1276,n1181,n1184
g1510,g1510,or,n1277,n514,n278
g1509,g1509,or,n1278,n290,n278
g1506,g1506,or,n1281,n523,n278
g1505,g1505,or,n1282,n527,n278
g1504,g1504,or,n1283,n530,n278
g1503,g1503,or,n1284,n537,n278
g1502,g1502,or,n1285,n517,n278
g1500,g1500,or,n1287,n528,n278
g1498,g1498,or,n1289,n518,n278
g1497,g1497,or,n1290,n536,n278
g1496,g1496,or,n1291,n532,n278
g1493,g1493,or,n1294,n539,n278
g1492,g1492,or,n1295,n534,n278
g1491,g1491,or,n1296,n525,n278
g1490,g1490,or,n1297,n515,n278
g1547,g1547,or,n1200,n782,n1187
g1488,g1488,or,n1299,n520,n278
g1487,g1487,or,n1300,n529,n278
g1486,g1486,or,n1301,n516,n278
g2477,g2477,not,n294,n2[36]
g2381,g2381,not,n390,n2530
g1485,g1485,or,n1302,n522,n278
g1483,g1483,or,n1304,n531,n278
g1481,g1481,or,n1306,n538,n278
g1479,g1479,or,n1308,n289,n278
g1478,g1478,nor,n1309,n8[6],n279
g1477,g1477,nor,n1310,n8[2],n279
g1805,g1805,nor,n966,n296,n282
g1476,g1476,nor,n1311,n8[9],n279
g1475,g1475,nor,n1312,n8[12],n279
g2280,g2280,not,n491,n2554
g1474,g1474,nor,n1313,n8[17],n279
g2158,g2158,not,n613,n3[2]
g1473,g1473,nor,n1314,n8[8],n279
g1472,g1472,nor,n1315,n8[18],n279
g1471,g1471,nor,n1316,n8[14],n279
g1470,g1470,nor,n1317,n8[16],n279
g1468,g1468,nor,n1319,n8[15],n279
g1467,g1467,nor,n1320,n8[10],n279
g1466,g1466,or,n1255,n806,n1187
g1465,g1465,or,n1256,n834,n1187
g1464,g1464,or,n1257,n838,n1187
g1463,g1463,or,n1258,n721,n1187
g1462,g1462,or,n1259,n843,n1187
g2222,g2222,not,n549,n4[18]
g1461,g1461,or,n1260,n826,n1187
g1781,g1781,nor,n990,n536,n420
g1459,g1459,or,n1262,n850,n1187
g1458,g1458,or,n1263,n853,n1187
g1456,g1456,or,n1265,n844,n1187
g1455,g1455,or,n1266,n830,n1187
g1454,g1454,or,n1267,n756,n1187
g1453,g1453,or,n1268,n879,n1187
g2835,g2835,or,n2607,n2597,n2601
g2664,g2664,nor,n153,n25,n152
g1450,g1450,or,n1271,n730,n1187
g1449,g1449,or,n1272,n736,n1187
g1448,g1448,or,n1273,n878,n1187
g2025,g2025,nor,n746,n2506,n10[0]
g1447,g1447,or,n1274,n794,n1187
g1446,g1446,nor,n1466,n277,n1252
g2192,g2192,not,n579,n4[34]
g2130,g2130,not,n641,n3[6]
g1445,g1445,nor,n1467,n277,n1236
g1444,g1444,nor,n1468,n276,n1238
g1443,g1443,nor,n1469,n277,n1248
g1442,g1442,nor,n1470,n277,n1247
g2611,g2611,xnor,n2529,n140,n187
g1441,g1441,nor,n1471,n277,n1246
g2509,g2509,xnor,n2563,n108,n255
g1440,g1440,nor,n1472,n277,n1240
g1439,g1439,nor,n1473,n277,n1245
g1438,g1438,nor,n1474,n277,n1237
g1589,g1589,or,n1183,n287,n1180
g1436,g1436,nor,n1476,n277,n1315
g1435,g1435,nor,n1477,n277,n1313
g1434,g1434,nor,n1478,n277,n1317
g1852,g1852,nor,n919,n380,n286
g1432,g1432,nor,n1480,n277,n1316
g1759,g1759,nor,n1012,n514,n475
g1431,g1431,nor,n1481,n277,n1249
g1430,g1430,nor,n1482,n277,n1318
g1427,g1427,nor,n1485,n277,n1243
g1425,g1425,nor,n1487,n277,n1311
g1424,g1424,nor,n1488,n277,n1250
g1421,g1421,nor,n1491,n276,n1241
g1417,g1417,nor,n1495,n277,n1242
g1416,g1416,nor,n1496,n276,n1242
g1415,g1415,nor,n1497,n276,n1251
g1413,g1413,nor,n1499,n276,n1253
g2157,g2157,not,n614,n4[19]
g1890,g1890,nor,n881,n8[21],n2559
g1411,g1411,nor,n1501,n1241,n1185
g1409,g1409,nor,n1503,n276,n1236
g2526,g2526,nor,n245,n40,n244
g1407,g1407,nor,n1505,n276,n1248
g1406,g1406,nor,n1506,n276,n1247
g1405,g1405,nor,n1507,n276,n1310
g1404,g1404,nor,n1508,n276,n1246
g1403,g1403,nor,n1509,n1251,n1185
g1401,g1401,nor,n1511,n1254,n1185
g2436,g2436,not,n335,n4[49]
g1399,g1399,nor,n1513,n277,n1253
g1398,g1398,nor,n1514,n1252,n1185
g1397,g1397,nor,n1515,n276,n1244
g1396,g1396,nor,n1516,n1236,n1185
g1395,g1395,nor,n1517,n1249,n1185
g1394,g1394,nor,n1518,n1248,n1185
g2767,g2767,nor,n55,n2[20],n2[84]
g1393,g1393,nor,n1519,n276,n1237
g1392,g1392,nor,n1520,n1247,n1185
g1390,g1390,nor,n1522,n1246,n1185
g1388,g1388,nor,n1524,n276,n1235
g1387,g1387,nor,n1525,n1244,n1185
g1386,g1386,nor,n1526,n1237,n1185
g1384,g1384,nor,n1528,n1235,n1185
g1383,g1383,nor,n1529,n1315,n1185
g1382,g1382,nor,n1530,n1313,n1185
g1858,g1858,nor,n913,n322,n288
g1381,g1381,nor,n1531,n276,n1313
g2600,g2600,nor,n196,n84,n195
g1380,g1380,nor,n1532,n1317,n1185
g1379,g1379,nor,n1533,n1319,n1185
g1522,g1522,or,n1225,n841,n1187
g1378,g1378,nor,n1534,n276,n1317
g1377,g1377,nor,n1535,n276,n1314
g1376,g1376,nor,n1536,n1316,n1185
g1375,g1375,nor,n1537,n1318,n1185
g2300,g2300,not,n471,n2[115]
g1373,g1373,nor,n1539,n276,n1319
g1371,g1371,nor,n1541,n1320,n1185
g1370,g1370,nor,n1542,n1311,n1185
g2625,g2625,nor,n179,n49,n178
g1891,g1891,nor,n880,n8[13],n2[109]
g1368,g1368,nor,n1544,n1314,n1185
g1367,g1367,nor,n1545,n1250,n1185
g1366,g1366,nor,n1546,n276,n1318
g2680,g2680,nor,n142,n78,n96
g1364,g1364,nor,n1548,n1240,n1185
g1363,g1363,nor,n1549,n276,n1312
g1362,g1362,nor,n1550,n1238,n1185
g1359,g1359,nor,n1553,n1242,n1185
g1358,g1358,nor,n1554,n276,n1320
g1357,g1357,nor,n1555,n276,n1311
g1355,g1355,nor,n1557,n277,n1244
g1354,g1354,nor,n1558,n276,n1250
g1353,g1353,nor,n1559,n276,n1309
g1352,g1352,nor,n1560,n277,n1254
g1351,g1351,nor,n1561,n1253,n1185
g1349,g1349,or,n1322,n873,n1276
g1348,g1348,or,n1323,n800,n1275
g1347,g1347,or,n1324,n849,n1276
g2810,g2810,not,n13,n2[2]
g1346,g1346,or,n1325,n825,n1275
g2734,g2734,xnor,n89,n2[44],n2[108]
g1345,g1345,or,n1326,n895,n1275
g1344,g1344,or,n1327,n728,n1275
g1916,g1916,nor,n855,n8[17],n2[81]
g1343,g1343,or,n1328,n893,n1275
g1518,g1518,or,n1229,n823,n1187
g1342,g1342,or,n1329,n904,n1276
g1340,g1340,or,n1331,n842,n1275
g1339,g1339,or,n1332,n882,n1276
g1338,g1338,or,n1333,n875,n1276
g1337,g1337,or,n1334,n862,n1275
g1336,g1336,or,n1335,n744,n1276
g1335,g1335,or,n1336,n867,n1275
g1333,g1333,or,n1338,n871,n1276
g1332,g1332,or,n1339,n855,n1275
g2438,g2438,not,n333,n2[44]
g1331,g1331,or,n1340,n723,n1275
g1330,g1330,or,n1341,n858,n1276
g2050,g2050,nor,n721,n8[16],n2[16]
g1329,g1329,or,n1342,n715,n1275
g1328,g1328,or,n1343,n816,n1276
g1326,g1326,or,n1345,n797,n1275
g1325,g1325,or,n1346,n786,n1275
g1323,g1323,or,n1348,n773,n1275
g1320,g1320,or,n1351,n737,n1275
g1318,g1318,or,n1353,n733,n1275
g1317,g1317,or,n1354,n746,n1276
g1315,g1315,or,n1356,n738,n1276
g1313,g1313,or,n1358,n898,n1275
g1312,g1312,or,n1359,n722,n1275
g2637,g2637,nor,n171,n66,n170
g1310,g1310,or,n1361,n892,n1276
g1309,g1309,or,n1362,n802,n1275
g1308,g1308,or,n1363,n890,n1275
g1307,g1307,or,n1364,n757,n1275
g1306,g1306,or,n1365,n750,n1275
g1305,g1305,or,n1366,n857,n1276
g1304,g1304,or,n1367,n752,n1275
g1303,g1303,or,n1368,n905,n1276
g2236,g2236,not,n535,n8[24]
g1302,g1302,or,n1369,n941,n1276
g2524,g2524,xnor,n2558,n126,n245
g1299,g1299,or,n1372,n735,n1275
g1298,g1298,or,n1373,n747,n1276
g1297,g1297,or,n1374,n719,n1276
g1296,g1296,or,n1375,n828,n1276
g1341,g1341,or,n1330,n902,n1275
g1295,g1295,or,n1376,n775,n1276
g1294,g1294,or,n1377,n899,n1276
g1293,g1293,or,n1378,n864,n1276
g1292,g1292,or,n1379,n832,n1276
g2818,g2818,not,n273,n272
g1290,g1290,or,n1381,n754,n1276
g1288,g1288,or,n1383,n796,n1276
g1287,g1287,or,n1384,n807,n1276
g2677,g2677,not,n144,n143
g1286,g1286,or,n1385,n791,n1275
g1285,g1285,or,n1386,n793,n1276
g1282,g1282,or,n1389,n886,n1276
g1281,g1281,or,n1390,n831,n1275
g1280,g1280,or,n1391,n824,n1276
g1277,g1277,or,n1394,n840,n1276
g2090,g2090,not,n681,n5[38]
g1275,g1275,or,n1396,n741,n1276
g1273,g1273,or,n1398,n859,n1276
g2142,g2142,not,n629,n5[47]
g1272,g1272,or,n1399,n861,n1276
g1270,g1270,or,n1401,n866,n1275
g1913,g1913,nor,n858,n8[11],n2549
g1269,g1269,or,n1402,n804,n1275
g1266,g1266,or,n1405,n763,n1275
g1327,g1327,or,n1344,n724,n1276
g1265,g1265,or,n1406,n896,n1275
g2771,g2771,nor,n51,n2[19],n2[83]
g1264,g1264,or,n1407,n743,n1276
g1263,g1263,or,n1408,n720,n1275
g1262,g1262,or,n1409,n734,n1275
g1261,g1261,or,n1410,n795,n1276
g1258,g1258,or,n1413,n812,n1275
g1257,g1257,or,n1414,n751,n1276
g1256,g1256,or,n1415,n865,n1276
g1255,g1255,or,n1416,n869,n1275
g1254,g1254,or,n1417,n801,n1275
g2314,g2314,not,n457,n2569
g1253,g1253,or,n1418,n761,n1276
g1252,g1252,or,n1419,n897,n1275
g1251,g1251,or,n1420,n745,n1276
g1250,g1250,or,n1421,n717,n1275
g1249,g1249,or,n1422,n818,n1275
g1248,g1248,or,n1423,n863,n1276
g2634,g2634,nor,n173,n23,n172
g1247,g1247,or,n1424,n880,n1275
g1246,g1246,or,n1425,n903,n1275
g1244,g1244,or,n1427,n860,n1275
g1243,g1243,or,n1428,n856,n1275
g1242,g1242,or,n1429,n771,n1275
g1241,g1241,or,n1430,n837,n1276
g1240,g1240,or,n1431,n789,n1276
g1236,g1236,or,n1435,n889,n1276
g1235,g1235,or,n1436,n901,n1276
g1233,g1233,or,n1438,n887,n1275
g1228,g1228,or,n1443,n784,n1276
g2295,g2295,not,n476,n2[75]
g1391,g1391,nor,n1521,n277,n1319
g1227,g1227,or,n1444,n787,n1275
g1226,g1226,or,n1445,n870,n1276
g1225,g1225,or,n1446,n821,n1275
g1224,g1224,or,n1447,n884,n1276
g1223,g1223,or,n1448,n767,n1275
g1221,g1221,nor,n1450,n4[26],n1285
g1219,g1219,nor,n1452,n4[25],n1287
g2348,g2348,not,n423,n2557
g1218,g1218,nor,n1453,n5[48],n1296
g1217,g1217,nor,n1454,n5[4],n1307
g2868,g2868,not,n2574,n7[4]
g2124,g2124,not,n647,n4[8]
g1216,g1216,nor,n1455,n4[23],n1289
g1215,g1215,nor,n1456,n4[22],n1290
g1213,g1213,nor,n1458,n4[24],n1288
g1212,g1212,nor,n1459,n5[46],n1298
g1211,g1211,nor,n1460,n4[20],n1292
g1208,g1208,nor,n1463,n4[18],n1294
g1207,g1207,nor,n1464,n5[3],n1306
g1206,g1206,nor,n1465,n4[17],n1295
g1205,g1205,nor,n1562,n4[16],n1296
g1204,g1204,nor,n1563,n4[45],n1300
g1745,g1745,nor,n1026,n528,n345
g1203,g1203,nor,n1564,n4[15],n1297
g1482,g1482,or,n1305,n521,n278
g1202,g1202,nor,n1565,n5[43],n1302
g1210,g1210,nor,n1461,n4[19],n1293
g1201,g1201,nor,n1566,n4[13],n1300
g2580,g2580,nor,n209,n24,n208
g1200,g1200,nor,n1567,n4[47],n1297
g1199,g1199,nor,n1568,n4[12],n1301
g2036,g2036,nor,n735,n8[5],n2[101]
g1764,g1764,nor,n1007,n439,n292
g1198,g1198,nor,n1569,n5[2],n1286
g1197,g1197,nor,n1570,n5[41],n1299
g2029,g2029,nor,n742,n8[31],n2[63]
g1196,g1196,nor,n1571,n4[11],n1302
g1193,g1193,nor,n1574,n4[9],n1299
g1192,g1192,nor,n1575,n4[8],n1277
g1191,g1191,nor,n1576,n5[39],n1304
g1190,g1190,nor,n1577,n5[1],n1278
g1189,g1189,nor,n1578,n4[27],n1284
g2675,g2675,xnor,n2508,n141,n143
g1186,g1186,nor,n1581,n5[38],n1305
g1183,g1183,nor,n1584,n4[4],n1307
g1182,g1182,nor,n1585,n4[3],n1306
g1209,g1209,nor,n1462,n5[45],n1300
g1181,g1181,nor,n1586,n4[2],n1286
g2478,g2478,not,n293,n8[31]
g1598,g1598,not,n1173,n1172
g1180,g1180,nor,n1587,n5[36],n1307
g1179,g1179,nor,n1588,n4[1],n1278
g2206,g2206,not,n565,n3[45]
g1175,g1175,nor,n1592,n3[63],n1280
g1174,g1174,nor,n1593,n5[34],n1286
g1173,g1173,nor,n1594,n4[37],n1308
g1172,g1172,nor,n1595,n3[62],n1281
g1169,g1169,nor,n1598,n5[0],n1279
g1168,g1168,nor,n1599,n3[60],n1283
g1167,g1167,nor,n1600,n3[59],n1284
g2597,g2597,nor,n198,n82,n197
g1166,g1166,nor,n1601,n5[32],n1279
g1165,g1165,nor,n1602,n3[58],n1285
g1164,g1164,nor,n1603,n4[58],n1285
g1161,g1161,nor,n1606,n3[56],n1288
g1157,g1157,nor,n1610,n3[53],n1291
g1156,g1156,nor,n1611,n4[59],n1284
g1155,g1155,nor,n1612,n3[52],n1292
g1154,g1154,nor,n1613,n3[51],n1293
g1153,g1153,nor,n1614,n5[29],n1282
g1152,g1152,nor,n1615,n3[50],n1294
g2462,g2462,not,n309,n2[60]
g2044,g2044,nor,n727,n8[24],n2[56]
